0.01;0;-0.00463203;-0.00526419;-0.00560623;-0.0058377;-0.00601238;-0.00615274;-0.00627017;-0.00637119;-0.0064599;-0.00653902;-0.00661045;-0.00667558;-0.00673545;-0.00679087;-0.00684245;-0.00689071;-0.00693604;-0.0069788;-0.00701925;-0.00705764;-0.00709417;-0.00712901;-0.00716231;-0.00719421;-0.00722481;-0.00725421;-0.00728252;-0.00730979;-0.00733612;-0.00736156;-0.00738616;-0.00740998;-0.00743308;-0.00745548;-0.00747723;-0.00749837;-0.00751892;-0.00753892;-0.0075584;-0.00757739;-0.0075959;-0.00761396;-0.00763158;-0.0076488;-0.00766563;-0.00768207;-0.00769816;-0.0077139;-0.00772931;-0.0077444;-0.00775919;-0.00777368;-0.00778788;-0.00780182;-0.00781548;-0.0078289;-0.00784206;-0.00785499;-0.00786769;-0.00788017;-0.00789243;-0.00790448;-0.00791633;-0.00792799
0.1;0;-0.00588048;-0.00630926;-0.00657777;-0.00677475;-0.00693111;-0.00706122;-0.00717291;-0.00727093;-0.00735839;-0.00743744;-0.00750961;-0.00757606;-0.00763767;-0.00769512;-0.00774898;-0.00779967;-0.00784758;-0.007893;-0.00793619;-0.00797738;-0.00801674;-0.00805445;-0.00809064;-0.00812543;-0.00815894;-0.00819126;-0.00822247;-0.00825266;-0.00828189;-0.00831022;-0.00833772;-0.00836442;-0.00839038;-0.00841564;-0.00844024;-0.00846422;-0.0084876;-0.00851042;-0.0085327;-0.00855447;-0.00857576;-0.00859658;-0.00861696;-0.00863692;-0.00865647;-0.00867564;-0.00869443;-0.00871287;-0.00873096;-0.00874872;-0.00876617;-0.00878331;-0.00880016;-0.00881672;-0.008833;-0.00884903;-0.00886479;-0.00888031;-0.00889559;-0.00891064;-0.00892546;-0.00894007;-0.00895447;-0.00896866
1;0;-0.0059798;-0.00639475;-0.00665871;-0.0068537;-0.00700911;-0.00713874;-0.00725021;-0.00734815;-0.00743562;-0.00751473;-0.00758701;-0.00765359;-0.00771534;-0.00777294;-0.00782695;-0.00787781;-0.00792588;-0.00797146;-0.00801481;-0.00805616;-0.00809568;-0.00813354;-0.00816988;-0.00820483;-0.00823848;-0.00827095;-0.0083023;-0.00833263;-0.008362;-0.00839047;-0.00841809;-0.00844493;-0.00847102;-0.0084964;-0.00852113;-0.00854522;-0.00856872;-0.00859165;-0.00861405;-0.00863594;-0.00865733;-0.00867827;-0.00869876;-0.00871882;-0.00873848;-0.00875774;-0.00877664;-0.00879517;-0.00881337;-0.00883123;-0.00884877;-0.008866;-0.00888294;-0.00889959;-0.00891597;-0.00893208;-0.00894793;-0.00896354;-0.0089789;-0.00899404;-0.00900894;-0.00902363;-0.00903811;-0.00905238
10;0;-0.00599171;-0.00640494;-0.00666833;-0.00686308;-0.00701836;-0.00714793;-0.00725936;-0.00735729;-0.00744476;-0.00752388;-0.00759617;-0.00766276;-0.00772452;-0.00778215;-0.00783617;-0.00788705;-0.00793513;-0.00798074;-0.00802411;-0.00806547;-0.00810501;-0.00814289;-0.00817925;-0.00821421;-0.00824788;-0.00828036;-0.00831174;-0.00834208;-0.00837146;-0.00839995;-0.00842759;-0.00845444;-0.00848054;-0.00850595;-0.00853068;-0.00855479;-0.00857831;-0.00860125;-0.00862366;-0.00864556;-0.00866697;-0.00868792;-0.00870842;-0.00872849;-0.00874816;-0.00876744;-0.00878635;-0.0088049;-0.0088231;-0.00884097;-0.00885852;-0.00887577;-0.00889271;-0.00890938;-0.00892576;-0.00894189;-0.00895775;-0.00897337;-0.00898874;-0.00900388;-0.0090188;-0.0090335;-0.00904798;-0.00906226
100;0;-0.0059929;-0.00640596;-0.00666929;-0.00686401;-0.00701928;-0.00714884;-0.00726028;-0.00735821;-0.00744568;-0.00752479;-0.00759708;-0.00766367;-0.00772544;-0.00778306;-0.00783709;-0.00788797;-0.00793606;-0.00798166;-0.00802504;-0.0080664;-0.00810594;-0.00814382;-0.00818018;-0.00821515;-0.00824882;-0.0082813;-0.00831268;-0.00834302;-0.00837241;-0.00840089;-0.00842854;-0.00845539;-0.00848149;-0.0085069;-0.00853164;-0.00855575;-0.00857926;-0.00860221;-0.00862462;-0.00864652;-0.00866793;-0.00868888;-0.00870938;-0.00872946;-0.00874913;-0.00876841;-0.00878732;-0.00880586;-0.00882407;-0.00884194;-0.00885949;-0.00887674;-0.00889369;-0.00891035;-0.00892674;-0.00894286;-0.00895873;-0.00897435;-0.00898972;-0.00900486;-0.00901978;-0.00903448;-0.00904897;-0.00906325
1000;0;-0.00599302;-0.00640606;-0.00666938;-0.0068641;-0.00701937;-0.00714894;-0.00726037;-0.0073583;-0.00744577;-0.00752488;-0.00759717;-0.00766376;-0.00772553;-0.00778316;-0.00783719;-0.00788806;-0.00793615;-0.00798175;-0.00802513;-0.00806649;-0.00810604;-0.00814392;-0.00818028;-0.00821524;-0.00824891;-0.0082814;-0.00831277;-0.00834312;-0.0083725;-0.00840099;-0.00842863;-0.00845548;-0.00848159;-0.00850699;-0.00853173;-0.00855584;-0.00857936;-0.0086023;-0.00862472;-0.00864662;-0.00866803;-0.00868897;-0.00870948;-0.00872955;-0.00874923;-0.00876851;-0.00878741;-0.00880596;-0.00882417;-0.00884204;-0.00885959;-0.00887684;-0.00889379;-0.00891045;-0.00892684;-0.00894296;-0.00895883;-0.00897444;-0.00898982;-0.00900496;-0.00901988;-0.00903458;-0.00904907;-0.00906335
10000;0;-0.00599303;-0.00640607;-0.00666939;-0.00686411;-0.00701938;-0.00714895;-0.00726038;-0.00735831;-0.00744578;-0.00752489;-0.00759718;-0.00766377;-0.00772554;-0.00778317;-0.00783719;-0.00788807;-0.00793616;-0.00798176;-0.00802514;-0.0080665;-0.00810604;-0.00814393;-0.00818029;-0.00821525;-0.00824892;-0.00828141;-0.00831278;-0.00834313;-0.00837251;-0.008401;-0.00842864;-0.00845549;-0.0084816;-0.008507;-0.00853174;-0.00855585;-0.00857937;-0.00860231;-0.00862473;-0.00864663;-0.00866804;-0.00868898;-0.00870949;-0.00872956;-0.00874923;-0.00876852;-0.00878742;-0.00880597;-0.00882417;-0.00884205;-0.0088596;-0.00887685;-0.0088938;-0.00891046;-0.00892685;-0.00894297;-0.00895884;-0.00897445;-0.00898983;-0.00900497;-0.00901989;-0.00903459;-0.00904908;-0.00906336
100000;0;-0.00599303;-0.00640607;-0.00666939;-0.00686411;-0.00701939;-0.00714895;-0.00726038;-0.00735831;-0.00744578;-0.00752489;-0.00759718;-0.00766377;-0.00772554;-0.00778317;-0.0078372;-0.00788807;-0.00793616;-0.00798176;-0.00802514;-0.0080665;-0.00810605;-0.00814393;-0.00818029;-0.00821525;-0.00824892;-0.00828141;-0.00831278;-0.00834313;-0.00837251;-0.008401;-0.00842864;-0.00845549;-0.0084816;-0.008507;-0.00853174;-0.00855585;-0.00857937;-0.00860231;-0.00862473;-0.00864663;-0.00866804;-0.00868898;-0.00870949;-0.00872956;-0.00874924;-0.00876852;-0.00878742;-0.00880597;-0.00882418;-0.00884205;-0.0088596;-0.00887685;-0.0088938;-0.00891046;-0.00892685;-0.00894297;-0.00895884;-0.00897445;-0.00898983;-0.00900497;-0.00901989;-0.00903459;-0.00904908;-0.00906336
1e+06;0;-0.00599303;-0.00640607;-0.00666939;-0.00686411;-0.00701939;-0.00714895;-0.00726038;-0.00735831;-0.00744578;-0.0075249;-0.00759718;-0.00766377;-0.00772554;-0.00778317;-0.0078372;-0.00788807;-0.00793616;-0.00798176;-0.00802514;-0.0080665;-0.00810605;-0.00814393;-0.00818029;-0.00821525;-0.00824892;-0.00828141;-0.00831278;-0.00834313;-0.00837251;-0.008401;-0.00842864;-0.00845549;-0.0084816;-0.008507;-0.00853174;-0.00855585;-0.00857937;-0.00860232;-0.00862473;-0.00864663;-0.00866804;-0.00868899;-0.00870949;-0.00872957;-0.00874924;-0.00876852;-0.00878742;-0.00880597;-0.00882418;-0.00884205;-0.0088596;-0.00887685;-0.0088938;-0.00891046;-0.00892685;-0.00894297;-0.00895884;-0.00897445;-0.00898983;-0.00900497;-0.00901989;-0.00903459;-0.00904908;-0.00906336
1e+07;0;-0.00599303;-0.00640607;-0.00666939;-0.00686411;-0.00701939;-0.00714895;-0.00726038;-0.00735831;-0.00744578;-0.0075249;-0.00759718;-0.00766377;-0.00772554;-0.00778317;-0.0078372;-0.00788807;-0.00793616;-0.00798176;-0.00802514;-0.0080665;-0.00810605;-0.00814393;-0.00818029;-0.00821525;-0.00824892;-0.00828141;-0.00831278;-0.00834313;-0.00837251;-0.008401;-0.00842864;-0.00845549;-0.0084816;-0.008507;-0.00853174;-0.00855585;-0.00857937;-0.00860232;-0.00862473;-0.00864663;-0.00866804;-0.00868899;-0.00870949;-0.00872957;-0.00874924;-0.00876852;-0.00878742;-0.00880597;-0.00882418;-0.00884205;-0.0088596;-0.00887685;-0.0088938;-0.00891046;-0.00892685;-0.00894297;-0.00895884;-0.00897445;-0.00898983;-0.00900497;-0.00901989;-0.00903459;-0.00904908;-0.00906336
1e+08;0;-0.00599303;-0.00640607;-0.00666939;-0.00686411;-0.00701939;-0.00714895;-0.00726038;-0.00735831;-0.00744578;-0.0075249;-0.00759718;-0.00766377;-0.00772554;-0.00778317;-0.0078372;-0.00788807;-0.00793616;-0.00798176;-0.00802514;-0.0080665;-0.00810605;-0.00814393;-0.00818029;-0.00821525;-0.00824892;-0.00828141;-0.00831278;-0.00834313;-0.00837251;-0.008401;-0.00842864;-0.00845549;-0.0084816;-0.008507;-0.00853174;-0.00855585;-0.00857937;-0.00860232;-0.00862473;-0.00864663;-0.00866804;-0.00868899;-0.00870949;-0.00872957;-0.00874924;-0.00876852;-0.00878742;-0.00880597;-0.00882418;-0.00884205;-0.0088596;-0.00887685;-0.0088938;-0.00891046;-0.00892685;-0.00894297;-0.00895884;-0.00897445;-0.00898983;-0.00900497;-0.00901989;-0.00903459;-0.00904908;-0.00906336
